rrad,meanrcontcII,stdrcontcII,meanrfluocII,stdrfluocII,meanrcontsiII,stdrcontsiII,meanrfluosiII,stdrfluosiII
0.5,8.757250675712784e+39,4.715494246529608e+39,3.335963481174644e+37,1.1622738019109364e+38,9.883024729713752e+39,7.377123773650336e+39,9.76569346661489e+37,1.7053571434507106e+38
2.0,2.878470663398765e+39,2.922553570253918e+39,2.9991923986890168e+38,3.0660502476121506e+38,3.1116301187265586e+39,2.1603375413549478e+39,4.391457840905459e+38,2.594148811821764e+38
3.0,1.0429527167193574e+39,1.309806069841319e+39,3.080112655938663e+38,2.7147045477027167e+38,1.1093248990648123e+39,6.829259672053413e+38,4.0682291150070166e+38,2.0032189241285234e+38
4.0,6.244703307956362e+38,5.28740922309673e+38,3.3531379240442024e+38,2.76638371827156e+38,6.569835010621333e+38,2.4572579092869056e+38,4.346955612692073e+38,1.756450118744286e+38
5.0,5.7738646785613384e+38,2.6556945593571716e+38,3.53870723875117e+38,2.6674541606639303e+38,6.005548499216955e+38,2.277751753683917e+38,4.563191161429575e+38,1.6137734820322696e+38
6.0,5.988412783044226e+38,2.1272474283846657e+38,3.910130749490602e+38,2.712269387712573e+38,6.222132284259981e+38,2.7411727426153062e+38,5.079236795142774e+38,1.708960164021362e+38
7.0,4.8843626841872305e+38,1.864597932618183e+38,4.34175554247126e+38,2.8867092505875547e+38,4.927265031707666e+38,1.8545251869386265e+38,5.842571619722605e+38,2.166206631292224e+38
8.0,4.325788183698976e+38,1.772928824593741e+38,4.168754122425425e+38,2.7120605270338206e+38,4.3058117111525096e+38,1.3654331659068527e+38,5.88631136698709e+38,2.2504927209973234e+38
9.0,4.530915750493502e+38,2.073528485652967e+38,3.878188027287983e+38,2.319332248285911e+38,4.539862791494087e+38,2.154426391251161e+38,5.750501432597677e+38,2.1434056798240646e+38
10.0,4.61516817078528e+38,2.3714945549753605e+38,3.739546437618116e+38,2.0276897266759687e+38,4.651511035481555e+38,2.95692193173755e+38,5.432392956037839e+38,1.997487087680255e+38
11.0,4.124668582415714e+38,2.2048701415397062e+38,3.599860334688516e+38,1.741703441610057e+38,4.121741705835327e+38,2.659866277519396e+38,5.14252398698328e+38,1.7559414622129282e+38
12.0,3.2947305350445517e+38,1.6914428785156362e+38,3.4429551647814974e+38,1.5971297390303876e+38,3.2367155603167313e+38,1.5449273443786525e+38,4.884191962271287e+38,1.5834998650070757e+38
13.0,3.0066591640503034e+38,1.2919592525955093e+38,3.3981652023416018e+38,1.530849701194645e+38,2.9589388590949155e+38,1.0752924631047764e+38,4.5646199370286114e+38,1.5016922274914431e+38
14.0,3.048973500147552e+38,1.1655610102978914e+38,3.3022979959534657e+38,1.5119036628351364e+38,2.9725351462404998e+38,1.1700045440714023e+38,4.2404682550552265e+38,1.5390711615614292e+38
15.0,2.9811840966257884e+38,1.181433479324384e+38,3.2065153715757943e+38,1.4709345052801474e+38,2.9534575777160623e+38,1.1531111087413978e+38,3.953024745228853e+38,1.513111864167342e+38
16.0,2.888727025463149e+38,1.2536380109208151e+38,2.9258385693675945e+38,1.2912980068604215e+38,2.8751169034918234e+38,1.3681888968462367e+38,3.5861098524632726e+38,1.4228829861395142e+38
17.0,2.6521683191683396e+38,1.3489260716731868e+38,2.7509624728527476e+38,1.1230796361097841e+38,2.6540671983184734e+38,1.353407693536157e+38,3.2121724883281023e+38,1.2926942406294766e+38
18.0,2.6257664558742773e+38,1.4495884216188953e+38,2.6160970394076815e+38,1.0361764243833665e+38,2.6260524984981246e+38,1.546852578156602e+38,2.9642511055840535e+38,1.241642183988991e+38
19.0,2.415900121786404e+38,1.5320458667308136e+38,2.438590258500839e+38,9.71919140977641e+37,2.412916262255069e+38,1.5039307462044953e+38,2.6745565047129544e+38,1.2108126647637684e+38
20.0,2.2643215555609094e+38,1.6022967695546916e+38,2.3243284139315505e+38,9.017256198729095e+37,2.2836562525115595e+38,1.6414315994627297e+38,2.39832486743534e+38,1.102811966092078e+38
21.0,2.1594152671392813e+38,1.5178658398204572e+38,2.2331043056202088e+38,9.028509029836558e+37,2.1960619771155595e+38,1.9506975488520214e+38,2.0997852422707515e+38,9.491775419105628e+37
22.0,1.5594288367699687e+38,1.1578604190720314e+38,2.083925893884133e+38,8.397824118590277e+37,1.5877303313441703e+38,1.1160233768670673e+38,1.839063605254473e+38,7.577842209569513e+37
23.0,1.2239109415885344e+38,7.813310061296707e+37,1.955495930967123e+38,7.420392018839405e+37,1.2465231851680836e+38,6.660511854206803e+37,1.6471724130747111e+38,6.779348565143027e+37
24.0,1.037808427037602e+38,5.801532538143694e+37,1.8173349981418773e+38,6.765567051242829e+37,1.0647237195474592e+38,5.875452107846738e+37,1.4789933449282448e+38,6.328727709376561e+37
25.0,9.124705483908255e+37,4.733647906830363e+37,1.7148627191411554e+38,6.251807618776709e+37,9.578201700231793e+37,5.35180938532362e+37,1.367632121740924e+38,6.053391906270163e+37
26.0,7.07783373180548e+37,3.730319515480538e+37,1.6162271550476479e+38,6.009497298935994e+37,7.545174316348508e+37,4.498065263227439e+37,1.2256589103383988e+38,5.818135711566294e+37
27.0,5.052729802231766e+37,2.746403737992023e+37,1.5158520062099704e+38,5.490144332474189e+37,5.180618023644614e+37,3.069788623404945e+37,1.05590504615033e+38,4.937204519893439e+37
28.0,3.660704784152496e+37,1.9897334704720945e+37,1.3712182172827873e+38,5.014963263481435e+37,3.8239501395366003e+37,1.8896881737911145e+37,9.101067531182722e+37,4.1200444920266665e+37
29.0,2.9203460400263295e+37,1.5198009477242961e+37,1.2034915948577459e+38,4.590748109449016e+37,2.9604872223789745e+37,1.576456543149743e+37,7.868127517745535e+37,3.5117423440305123e+37
30.0,2.3366487566434776e+37,1.2150967598214794e+37,1.0910767401363783e+38,4.311245956825798e+37,2.3582771252070885e+37,1.0965252361497358e+37,6.432282790307044e+37,2.853061293970568e+37
31.0,1.8914560094178354e+37,1.0399855176425138e+37,1.011098097210987e+38,3.98758971753419e+37,2.0646604657279608e+37,1.1988748471582463e+37,5.638958279534728e+37,2.6016568631161656e+37
32.0,1.6986318958975898e+37,9.458480095660978e+36,9.166845115743029e+37,3.7439931199977505e+37,1.8532582553169198e+37,1.252926501720731e+37,5.171085756776712e+37,2.5907543060872723e+37
33.0,1.4298592902026692e+37,9.146769614995939e+36,8.497158421453332e+37,3.567241753794143e+37,1.54874562796878e+37,9.25999605249751e+36,4.659651533697923e+37,2.4240499922045994e+37
34.0,1.2485054852859144e+37,1.0536629294806964e+37,7.646952017251089e+37,3.271078559106396e+37,1.392786164432244e+37,9.499985689460164e+36,3.919970561989811e+37,2.094619056987094e+37
35.0,1.324644376700222e+37,1.1229389916286957e+37,6.892130498419229e+37,3.1575453312138027e+37,1.4333531318415325e+37,2.0323958862767404e+37,3.4501020710305427e+37,2.070028819612261e+37
36.0,8.253543339563067e+36,8.352009682982672e+36,6.047265935251215e+37,2.975353175729638e+37,8.695349549891933e+36,5.975569517880113e+36,2.923658522363271e+37,1.761032907085461e+37
37.0,7.281658521378497e+36,5.822961973809033e+36,5.114764633950917e+37,2.7454172650360986e+37,7.755870736058263e+36,5.451301786358133e+36,2.5548201859484075e+37,1.6811948757215967e+37
38.0,6.399410987749114e+36,4.976331244682341e+36,4.299415150950395e+37,2.4850841896615606e+37,6.68759164765724e+36,5.783721922235316e+36,2.1033936503060988e+37,1.5807748194300858e+37
39.0,4.9664193988323637e+36,4.227274918837844e+36,3.321037517897338e+37,2.0510983623816368e+37,4.9876470322794606e+36,3.0780304491301486e+36,1.6683432582912066e+37,1.3988793974105226e+37
40.0,4.085098752647491e+36,3.4575271725577065e+36,2.544531930723109e+37,1.6861113865673821e+37,4.2448382952968956e+36,4.209680697341498e+36,1.188444818285363e+37,9.704773610097149e+36
41.0,4.0964918350362223e+36,2.7645741997022116e+36,1.7660672875637312e+37,1.287200953417185e+37,3.751102994685554e+36,2.7532215046460564e+36,8.625009423885332e+36,6.98214546501649e+36
42.0,3.1448157811590625e+36,2.1313659593134574e+36,1.2460936708452822e+37,9.956281043326061e+36,3.221897656270187e+36,2.619940339518575e+36,6.116758539019223e+36,5.0069329231863655e+36
43.0,2.2806081076831895e+36,1.65863693749354e+36,9.007582667914977e+36,7.692677132929351e+36,2.4219531015888916e+36,1.681179531180377e+36,4.286749622584811e+36,4.337673260328787e+36
44.0,1.7004292364000594e+36,1.378263109754722e+36,6.90324258249411e+36,6.562035106168775e+36,1.9185906097159244e+36,1.5518691051416007e+36,3.732968398381159e+36,4.3091775708524266e+36
45.0,1.411781183460704e+36,1.2367297877780301e+36,5.2475194918268876e+36,5.389160289930731e+36,1.6927192938133585e+36,1.529608201966363e+36,2.5492847783017433e+36,3.285032322838471e+36
46.0,1.0555874161430277e+36,1.2446190645233301e+36,4.2693880089165666e+36,4.8839439942715356e+36,1.1819630435473216e+36,1.2147593095832771e+36,1.9315606262142286e+36,2.683610409715497e+36
47.0,1.0537953373872327e+36,1.3245004112490291e+36,2.758984290281293e+36,3.6586025781534017e+36,7.089220930304996e+35,1.0654300821470177e+36,1.4320582988246056e+36,2.9513300354328257e+36
48.0,7.026575187131699e+35,1.2038595931893693e+36,1.954432180539172e+36,3.285594335615084e+36,7.892298392528484e+35,1.5484860556366717e+36,1.1401991199840177e+36,2.2937192626428124e+36
49.0,5.058587525836718e+35,8.786844488541893e+35,1.2421587711300107e+36,2.0802526217442673e+36,4.942450249866935e+35,7.3366939840057e+35,7.818062458532877e+35,1.584627414539561e+36
50.0,2.725513583288591e+35,6.4843683276382096e+35,7.547400023906855e+35,1.7076390415481197e+36,2.638203776079167e+35,5.199781284604223e+35,4.71247555429315e+35,1.1419500496666908e+36
